                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2831,                 3.5911,                 2.1735,                 0.0642,                0.24129,                0.11643,                0.03837,                 1.7108,                 3.8853,                 1.7429,             0.00014443,             0.00014443,             0.00014443
                      2,                 1.8465,                 2.6297,                 1.8652,                0.81311,                0.12074,                0.16876,                 0.0608,                 1.9668,                  3.319,                   2.04,             0.00029799,             0.00029799,             0.00029799
                      3,                  1.695,                 2.0038,                 1.7875,                0.85028,                0.14621,                0.28842,                0.11292,                 1.8319,                 2.6803,                 1.8553,              0.0004495,              0.0004495,              0.0004495
                      4,                 1.6655,                 1.8249,                 1.7764,                 0.3898,                0.20099,                0.23983,                0.06846,                 2.0465,                 2.7976,                 2.1743,             0.00059895,             0.00059895,             0.00059895
                      5,                 1.6109,                 1.7226,                 1.7291,                0.75882,                0.25341,                0.38705,                0.16055,                 1.8117,                 2.3661,                 1.7969,             0.00074635,             0.00074635,             0.00074635
                      6,                 1.5829,                 1.6371,                 1.6942,                0.52625,                0.28684,                  0.315,                0.10428,                 2.0664,                 2.4501,                 2.0486,              0.0008917,              0.0008917,              0.0008917
                      7,                 1.6024,                 1.6014,                 1.6891,                0.44239,                0.21502,                0.19403,                0.07658,                 2.0099,                 2.8599,                 2.0985,               0.001035,               0.001035,               0.001035
                      8,                 1.5799,                 1.5641,                 1.6774,                0.54422,                0.37862,                0.33946,                0.14377,                 1.9687,                 2.0241,                 1.9241,              0.0010597,              0.0010597,              0.0010597
                      9,                 1.5703,                 1.5349,                 1.6665,                0.50148,                0.32914,                0.27569,                0.08255,                 2.3739,                 2.2546,                 2.3115,              0.0010597,              0.0010597,              0.0010597
                     10,                 1.5429,                 1.4664,                 1.6447,                  0.628,                0.44391,                0.45078,                0.19888,                 1.9191,                  1.779,                 1.9115,              0.0010523,              0.0010523,              0.0010523
                     11,                 1.5284,                 1.4231,                 1.6253,                0.37964,                0.41615,                0.35773,                0.14436,                 2.0843,                 1.9315,                 2.0379,               0.001045,               0.001045,               0.001045
                     12,                 1.5265,                 1.4115,                  1.616,                0.75422,                0.40097,                0.51937,                0.21745,                 1.9222,                 1.7067,                 1.8484,              0.0010377,              0.0010377,              0.0010377
                     13,                 1.5132,                 1.4033,                 1.6085,                0.68688,                0.49154,                0.51704,                0.21746,                 1.8851,                 1.5104,                  1.811,              0.0010303,              0.0010303,              0.0010303
                     14,                 1.4913,                 1.3606,                  1.608,                0.68223,                0.53736,                0.53983,                0.24154,                 1.8019,                 1.5454,                 1.7878,               0.001023,               0.001023,               0.001023
                     15,                 1.4872,                 1.3498,                 1.6192,                0.70705,                0.51797,                0.51803,                0.22895,                 1.9134,                 1.4392,                 1.8267,              0.0010157,              0.0010157,              0.0010157
                     16,                 1.4825,                 1.3045,                 1.5941,                0.70094,                0.49954,                0.54557,                0.25815,                 1.7875,                 1.4237,                 1.7528,              0.0010083,              0.0010083,              0.0010083
                     17,                 1.4783,                 1.2743,                 1.5865,                0.78457,                0.50266,                0.56613,                0.27184,                 1.7491,                 1.3359,                 1.6908,               0.001001,               0.001001,               0.001001
