                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.696,                 3.5494,                 2.5827,                0.31182,                0.13082,                0.05235,                0.01409,                 1.9094,                 4.1429,                 2.0494,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.9881,                 2.5352,                 2.0538,                0.25332,                0.47775,                0.22407,                0.04943,                  2.442,                 3.6671,                 2.7236,             0.00021075,             0.00021075,             0.00021075
                      3,                  1.587,                  2.019,                 1.7101,                0.33047,                0.41594,                0.29364,                0.07879,                 2.3104,                 4.3483,                 2.5799,             0.00031964,             0.00031964,             0.00031964
                      4,                 1.5068,                  1.737,                 1.5999,                0.32608,                0.58369,                0.37829,                0.12044,                 2.3333,                  3.584,                 2.5117,             0.00042667,             0.00042667,             0.00042667
                      5,                 1.4528,                 1.5639,                 1.5536,                0.47718,                0.42526,                0.40052,                0.18515,                 1.9755,                 2.7752,                 2.0723,             0.00053185,             0.00053185,             0.00053185
                      6,                 1.4353,                 1.4786,                 1.5098,                0.43462,                0.31976,                0.30971,                0.11482,                 2.3238,                 4.1002,                 2.6333,             0.00063517,             0.00063517,             0.00063517
                      7,                 1.4016,                 1.4182,                 1.4951,                0.40483,                0.49526,                0.32586,                0.14276,                 1.9885,                 5.8501,                 2.1805,             0.00073664,             0.00073664,             0.00073664
                      8,                 1.4205,                 1.3992,                 1.5349,                0.38579,                0.42398,                0.35918,                0.18102,                 1.9125,                  4.805,                 2.1267,             0.00083625,             0.00083625,             0.00083625
                      9,                 1.4472,                 1.4641,                 1.5726,                0.41289,                0.41924,                0.34611,                0.17911,                  1.916,                 3.4065,                 2.1551,               0.000934,               0.000934,               0.000934
                     10,                 1.3896,                 1.3563,                 1.4937,                0.37207,                0.48885,                0.37158,                0.15649,                 2.2451,                 3.2733,                 2.2743,              0.0010299,              0.0010299,              0.0010299
                     11,                 1.3344,                 1.2695,                 1.4685,                0.41995,                0.56033,                0.42672,                0.21025,                 1.8792,                  2.278,                 1.9897,              0.0011239,              0.0011239,              0.0011239
                     12,                 1.3886,                 1.2635,                 1.5016,                0.32106,                0.34171,                0.27518,                0.12156,                 2.1609,                  2.768,                 2.1398,              0.0011366,              0.0011366,              0.0011366
                     13,                 1.3444,                 1.2541,                   1.47,                0.44318,                0.46702,                0.40356,                0.20778,                  1.756,                 2.3668,                 1.8331,              0.0011263,              0.0011263,              0.0011263
                     14,                 1.3421,                 1.2314,                 1.4607,                0.30961,                0.57091,                0.39779,                0.22443,                 1.6661,                 2.0314,                  1.732,              0.0011159,              0.0011159,              0.0011159
                     15,                 1.3367,                 1.2379,                 1.4564,                0.54378,                0.46009,                0.45305,                0.23315,                  1.969,                 1.9061,                 2.0081,              0.0011056,              0.0011056,              0.0011056
                     16,                 1.3061,                 1.1684,                 1.4407,                 0.4879,                 0.4054,                0.39438,                0.21557,                 1.9664,                 4.5571,                 2.1231,              0.0010953,              0.0010953,              0.0010953
                     17,                 1.3263,                 1.1436,                 1.4373,                0.57155,                0.61166,                0.56094,                0.30359,                 1.6832,                 1.9388,                 1.7764,               0.001085,               0.001085,               0.001085
                     18,                 1.2787,                  1.112,                 1.3991,                0.61864,                 0.6272,                0.56048,                0.33319,                 1.6605,                 2.0158,                 1.7203,              0.0010747,              0.0010747,              0.0010747
                     19,                 1.2994,                 1.1234,                 1.4233,                0.69182,                0.63642,                0.65227,                0.37913,                 1.5626,                 1.6983,                 1.6347,              0.0010644,              0.0010644,              0.0010644
                     20,                 1.2866,                 1.1418,                  1.438,                0.63168,                0.68084,                0.65932,                0.36575,                 1.7213,                 1.3933,                 1.7266,              0.0010541,              0.0010541,              0.0010541
                     21,                 1.2751,                 1.0887,                 1.3943,                0.66017,                0.65492,                0.68394,                 0.4106,                 1.4969,                 1.3257,                 1.5304,              0.0010438,              0.0010438,              0.0010438
                     22,                 1.2577,                 1.0287,                  1.385,                0.73736,                0.61359,                0.69784,                0.39559,                 1.5544,                 1.2351,                 1.6502,              0.0010334,              0.0010334,              0.0010334
                     23,                 1.2684,                 1.0926,                 1.3965,                0.66499,                0.69387,                0.68956,                 0.4001,                 1.5207,                 1.2596,                 1.6098,              0.0010231,              0.0010231,              0.0010231
                     24,                 1.2574,                 1.0594,                 1.3771,                0.77509,                0.69157,                0.75468,                 0.3903,                 1.7589,                 1.3084,                 1.7869,              0.0010128,              0.0010128,              0.0010128
                     25,                 1.2145,                 1.0526,                  1.369,                0.83773,                0.67481,                0.76828,                 0.4269,                 1.4972,                 1.2752,                 1.5535,              0.0010025,              0.0010025,              0.0010025
                     26,                 1.2175,                 1.0169,                 1.3592,                0.77912,                0.70105,                0.75947,                0.43759,                 1.5469,                 1.2255,                 1.6034,             0.00099219,             0.00099219,             0.00099219
                     27,                 1.2493,                 1.0046,                 1.3646,                0.72995,                0.71192,                0.72983,                0.41167,                 1.5612,                 1.2753,                 1.6143,             0.00098187,             0.00098187,             0.00098187
                     28,                 1.2103,                0.97984,                 1.3591,                0.82265,                0.61529,                0.71936,                0.40815,                 1.5578,                 1.2747,                  1.612,             0.00097156,             0.00097156,             0.00097156
                     29,                 1.2417,                 1.0002,                 1.3757,                0.82412,                0.66466,                0.75351,                0.46111,                 1.4371,                 1.1756,                 1.4935,             0.00096125,             0.00096125,             0.00096125
                     30,                 1.1653,                0.95976,                 1.3235,                0.84852,                0.69221,                0.77607,                0.47741,                 1.4334,                 1.3223,                 1.5205,             0.00095094,             0.00095094,             0.00095094
                     31,                 1.2136,                 0.9724,                 1.3742,                0.78155,                0.75533,                0.80813,                0.49542,                 1.3901,                  1.055,                 1.4563,             0.00094062,             0.00094062,             0.00094062
                     32,                 1.2005,                 0.9745,                 1.3608,                0.78922,                 0.7215,                0.77963,                0.45096,                 1.6271,                 1.0584,                 1.5871,             0.00093031,             0.00093031,             0.00093031
                     33,                 1.1815,                0.92865,                 1.3497,                0.80433,                0.75235,                0.80205,                0.48761,                 1.4261,                 1.0102,                 1.4618,                0.00092,                0.00092,                0.00092
                     34,                 1.2021,                0.94269,                 1.3549,                0.82162,                 0.7232,                0.78371,                0.44912,                 1.6651,                  1.062,                 1.6634,             0.00090969,             0.00090969,             0.00090969
                     35,                  1.149,                0.91104,                 1.3278,                0.76681,                0.70576,                0.73913,                0.47973,                 1.3236,                0.98107,                 1.3792,             0.00089938,             0.00089938,             0.00089938
                     36,                  1.187,                 0.9381,                 1.3266,                 0.7606,                0.67783,                0.73396,                 0.4199,                 1.6033,                 1.1419,                 1.6198,             0.00088906,             0.00088906,             0.00088906
                     37,                  1.188,                0.91803,                 1.3461,                0.83844,                0.72073,                 0.7904,                0.47505,                 1.4815,                 1.0142,                 1.4464,             0.00087875,             0.00087875,             0.00087875
                     38,                  1.171,                0.91941,                 1.3392,                0.80215,                0.73742,                0.78435,                 0.4724,                 1.4925,                 1.0853,                 1.5023,             0.00086844,             0.00086844,             0.00086844
                     39,                 1.1374,                0.87757,                 1.3095,                0.84346,                0.67843,                0.76217,                0.49922,                 1.2772,                  1.081,                 1.4015,             0.00085813,             0.00085813,             0.00085813
                     40,                   1.16,                 0.8558,                 1.3312,                0.76456,                0.74203,                0.77339,                0.44146,                 1.5633,                 1.0781,                 1.5655,             0.00084781,             0.00084781,             0.00084781
                     41,                  1.115,                0.86615,                 1.2897,                 0.7594,                0.74209,                0.75856,                0.46157,                 1.3883,                  1.072,                 1.4588,              0.0008375,              0.0008375,              0.0008375
                     42,                 1.1052,                0.83355,                 1.2908,                0.76646,                0.74775,                0.79071,                0.50488,                 1.2779,                 1.0423,                 1.3689,             0.00082719,             0.00082719,             0.00082719
                     43,                  1.131,                0.84083,                 1.2856,                0.84081,                0.76508,                0.81865,                0.53495,                 1.2289,                0.94319,                 1.3333,             0.00081688,             0.00081688,             0.00081688
                     44,                  1.121,                0.84574,                 1.2921,                0.82204,                0.80869,                0.83256,                 0.5395,                 1.1904,                0.85218,                 1.3404,             0.00080656,             0.00080656,             0.00080656
                     45,                   1.11,                0.82254,                 1.2805,                0.80692,                0.73278,                0.79027,                0.49257,                 1.2795,                0.90008,                 1.4431,             0.00079625,             0.00079625,             0.00079625
                     46,                 1.1247,                0.86135,                 1.2983,                0.81902,                0.75699,                0.81766,                0.52578,                 1.3207,                0.93658,                 1.4071,             0.00078594,             0.00078594,             0.00078594
